2 admissions.admit (u'elective',)
3 admissions.admit (u'emergency',)
4 admissions.admit (u'newborn',)
5 admissions.admit (u'urgent',)
6 admissions.disch (u'flag',)
7 icustays 
8 labevents.51221 (u'',)
9 labevents.51221 (u'abnormal',)
10 labevents.51221 (u'delta',)
11 labevents.51301 (u'',)
12 labevents.51301 (u'abnormal',)
13 labevents.51301 (u'delta',)
14 labevents.51265 (u'',)
15 labevents.51265 (u'abnormal',)
16 labevents.51265 (u'delta',)
17 labevents.51222 (u'',)
18 labevents.51222 (u'abnormal',)
19 labevents.51222 (u'delta',)
20 labevents.51248 (u'',)
21 labevents.51248 (u'abnormal',)
22 labevents.51248 (u'delta',)
23 labevents.51249 (u'',)
24 labevents.51249 (u'abnormal',)
25 labevents.51249 (u'delta',)
26 labevents.51250 (u'',)
27 labevents.51250 (u'abnormal',)
28 labevents.51250 (u'delta',)
29 labevents.51279 (u'',)
30 labevents.51279 (u'abnormal',)
31 labevents.51279 (u'delta',)
32 labevents.51277 (u'',)
33 labevents.51277 (u'abnormal',)
34 labevents.50971 (u'',)
35 labevents.50971 (u'abnormal',)
36 labevents.50983 (u'',)
37 labevents.50983 (u'abnormal',)
38 labevents.50902 (u'',)
39 labevents.50902 (u'abnormal',)
40 labevents.50882 (u'',)
41 labevents.50882 (u'abnormal',)
42 labevents.50868 (u'',)
43 labevents.50868 (u'abnormal',)
44 labevents.51006 (u'',)
45 labevents.51006 (u'abnormal',)
46 labevents.50912 (u'',)
47 labevents.50912 (u'abnormal',)
48 labevents.50912 (u'delta',)
49 labevents.50931 (u'',)
50 labevents.50931 (u'abnormal',)
51 labevents.50960 (u'',)
52 labevents.50960 (u'abnormal',)
53 labevents.50893 (u'',)
54 labevents.50893 (u'abnormal',)
55 labevents.50970 (u'',)
56 labevents.50970 (u'abnormal',)
57 labevents.50970 (u'delta',)
58 labevents.51237 (u'',)
59 labevents.51237 (u'abnormal',)
60 labevents.51274 (u'',)
61 labevents.51274 (u'abnormal',)
62 labevents.51244 (u'',)
63 labevents.51244 (u'abnormal',)
64 labevents.51254 (u'',)
65 labevents.51254 (u'abnormal',)
66 labevents.51256 (u'',)
67 labevents.51256 (u'abnormal',)
68 labevents.51146 (u'',)
69 labevents.51146 (u'abnormal',)
70 labevents.51200 (u'',)
71 labevents.51200 (u'abnormal',)
72 labevents.51275 (u'',)
73 labevents.51275 (u'abnormal',)
74 labevents.50885 (u'',)
75 labevents.50885 (u'abnormal',)
76 labevents.50885 (u'delta',)
77 labevents.50820 (u'',)
78 labevents.50820 (u'abnormal',)
79 labevents.51491 (u'',)
80 labevents.51491 (u'abnormal',)
81 labevents.51498 (u'',)
82 labevents.51498 (u'abnormal',)
83 labevents.50802 (u'',)
84 labevents.50804 (u'',)
85 labevents.50804 (u'abnormal',)
86 labevents.50818 (u'',)
87 labevents.50818 (u'abnormal',)
88 labevents.50821 (u'',)
89 labevents.50821 (u'abnormal',)
90 labevents.50861 (u'',)
91 labevents.50861 (u'abnormal',)
92 labevents.50878 (u'',)
93 labevents.50878 (u'abnormal',)
94 labevents.50863 (u'',)
95 labevents.50863 (u'abnormal',)
96 chartevents.211 
97 chartevents.926 (u'+ 0',)
98 chartevents.926 (u'bap',)
99 chartevents.926 (u'baptist',)
100 chartevents.926 (u'bud',)
101 chartevents.926 (u'catholic',)
102 chartevents.926 (u'csc',)
103 chartevents.926 (u'epi',)
104 chartevents.926 (u'gor',)
105 chartevents.926 (u'hbr',)
106 chartevents.926 (u'hin',)
107 chartevents.926 (u'jew',)
108 chartevents.926 (u'jewish',)
