1	% Inspir. Time
2	ABI (L)
3	ABI (R)
4	ABI Ankle BP [Right]
5	ABI Brachial BP [Right]
6	ABP [Systolic]
24	ART Lumen Volume
25	AV Interval
26	AaDO2
27	Abdominal Assessment
28	Abdominal Girth
29	Access mmHg
31	Activity
32	Activity Tolerance
34	Add Gas Flow (Vent)
35	Additional Gas (lpm)
36	Additional Gas(Mask)
37	Additional Gas(Vent)
38	Airway
39	Airway Size
40	Airway Type
41	Alarms Activated
43	Angio Appearance #1 [Attribute 1]
44	Angio Appearance #2 [Attribute 1]
45	Angio Dressing #1
46	Angio Dressing #2
47	Angio Site #1
48	Angio Site #2
49	Anti-Embolism [Device]
50	Apnea Time Interval
51	Arterial BP [Systolic]
52	Arterial BP Mean
53	Arterial Pressure
54	Assistance Device
55	Assisted Systole
56	Atrial Pacemaker [Sense]
57	Atrial Pacemaker Threshold [Unit]
58	Atrial Pacemaker [mA]
59	Augmented Diastole
60	Auto-PEEP Level
61	AvDO2
62	BAEDP
63	BIPAP - BPM
64	BIPAP - EPAP
65	BIPAP - Est. Vt
66	BIPAP - IPAP
67	BIPAP - O2 lpm
68	BIPAP-Mode
69	BSA
70	BSA - English
71	BSA - Metric
72	Back Care
74	Base Excess
75	Baseline Current/mA
76	Bath
77	Behavior
78	Bladder Irrigation
79	Blood Flow ml/min
80	Bowel Sounds
81	Brachial Pulse [Right]
82	Braden Activity
83	Braden Frict/Shear
84	Braden Mobility
85	Braden Moisture
86	Braden Nutrition
87	Braden Score
88	Braden SensoryPercep
89	C.O. (fick)
90	C.O.(thermodilution)
91	CPM
92	CPP
93	CT #1 Crepitus
94	CT #1 Drainage
95	CT #1 Dressing
96	CT #1 [Fluctuate]
97	CT #1 Suction Amount
98	CT #2 Crepitus
99	CT #2 Drainage
100	CT #2 Dressing
101	CT #2 [Fluctuate]
102	CT #2 Suction Amount
103	CT #3 Crepitus
104	CT #3 Drainage
105	CT #3 Dressing
106	CT #3 [Fluctuate]
107	CT #3 Suction Amount
108	CT #4 Crepitus
109	CT #4 Drainage
110	CT #4 Dressing
111	CT #4 [Fluctuate]
112	CT #4 Suction Amount
113	CVP
114	CaO2
115	Capillary Refill [Right]
116	Cardiac Index
117	Catheter Insert Date
118	Cerv Collar Status
119	Cervical Collar Type
121	Chest PT [Right]
122	Chest Tube Site #1
123	Chest Tube Site #2
124	Chest Tube Site #3
125	Chest Tube Site #4
127	Circulation/SkinInt
128	Code Status
129	Collar Care
130	Communication
131	Compliance (40-60ml)
132	Compliance-Corrected
133	Cont.Nebulizer(Drug)
134	Cooling [Device]
135	Corneal Reflex [Right]
136	Cough Effort
137	Cough Reflex
138	Cough Type
139	Cough/Deep Breathe
140	Cuff Leak
141	Cuff Pressure-Airway
142	Current Goal
143	CvO2
146	Dialysate Flow ml/hr
147	Dialysate Infusing
148	Dialysis Access Site
149	Dialysis Access Type
150	Dialysis Machine
151	Dialysis Site Appear
152	Dialysis Type
153	Diastolic Unloading
154	Diet Type
155	Doppler BP
156	Dorsal PedPulse [Right]
157	ETT [Mark]
158	ETT Position Change
159	Ectopy Frequency
160	Ectopy Frequency 2
161	Ectopy Type
162	Ectopy Type 2
163	Edema #1 [Location]
164	Edema #2 [Location]
165	Education Barrier
166	Education Handout
167	Education Learner
168	Education Method
169	Education Readiness
170	Education Response
171	Education Topic #1
172	Education Topic #2
173	Effluent Press mmHg
174	Emesis [Appearance]
175	Energy Expenditure
176	Epi Infusion Rate
177	Epidural Appearance
178	Epidural Bolus
179	Epidural Location
180	Epidural Medication
181	Epidural Total Dose
182	Extubation Date
183	Eye Care
184	Eye Opening
185	FIO2 Alarm-High
186	FIO2 Alarm-Low
187	Family Communication
188	Femoral Pulse [Right]
189	FiO2 (Analyzed)
190	FiO2 Set
191	FiO2/O2 Delivered
192	Filter Pressure mmHg
193	Flatus
194	Flow-By (lpm)
195	Flow-by Sensitivity
196	Foley Care
197	Follows Commands
198	GCS Total
199	GI [Guaiac]
200	GI Intub #1 [Type]
201	GI Intub #2 [Type]
202	GI#1 Tube PlaceCheck
203	GI#1 Tube [Status]
